coaster_name,Length,Location,Status,Manufacturer,Height restriction,Model,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Blue Streak (Cedar Point),"2,558 ft (780 m)",Cedar Point,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain lift hill,"$200,000 ",2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Main Midway,1:45,"1,400 riders per hour",Frank F. HooverJohn C. Allen,45°,72 ft (22 m),,Fast Lane available,,Out and Back,,,,,,,,,,,,,,,1964,41.4799,-82.6826,Wood,5/23/1964,40 mph ,64 km/h,40,mph,40,78,ft,,0,
Jetstream (roller coaster),,Riverview Park,Removed,Philadelphia Toboggan Coasters,,,,,,,,,John C. Allen,,,,,,,,1967,,,,,,,,,,,,,1964,41.9418,-87.6907,Wood,1/1/1964,,,,,,,,,0,
Montaña Rusa (La Feria Chapultepec Mágico),"4,000 ft (1,200 m)",La Feria Chapultepec Mágico,Removed,National Amusement Devices,,,,,,,,,"Aurel Vaszin, Edward Leis",,80 ft (24 m),,,,,,28-Sep-19,,,,,,,,,,,,,1964,19.4164,-99.1956,Wood,10/22/1964,,,,,,110,ft,,0,
Giant Coaster (Fuji-Q Highland),"1,432 m (4,698 ft)",Fuji-Q Highland,Removed,Sansei Technologies,,,Chain lift hill,,,,3:20,,,,,,,,,,1997,,,,,,,,,,,,,1966,35.487,138.78,Steel,1/1/1966,80 km/h ,50 mph,80,km/h,49.7,40,m,131.2,0,
Runaway Mine Train (Six Flags Over Texas),"2,400 ft (730 m)",Six Flags Over Texas,Operating,Arrow Development,42 in (107 cm),Mine Train,Chain,"$1,000,000 ",,Boomtown,3:10,2010 riders per hour,,,,,,,,,,,,,,,,,,,,,,1966,32.7585,-97.0685,Steel,7/23/1966,35 mph ,56 km/h,35,mph,35,35,ft,,0,
Swamp Fox (roller coaster),"2,400 ft (730 m)",Family Kingdom Amusement Park,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain lift hill,,,,,,John Allen,,65 ft (20 m),,,,Double Out and Back,,,,,,,,,,,,,,,1966,33.6825,-78.8917,Wood,1/1/1966,50 mph ,80 km/h,50,mph,50,75,ft,,0,
Cannon Ball (roller coaster),"2,272 ft (693 m)",Lake Winnepesaukah,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain lift hill,,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,1:32,,John C. Allen,45°,70 ft (21 m),,,,Out and back,,,,,,,Must transfer from wheelchair,,,,,,,,1967,,,Wood,1/1/1967,50 mph ,80 km/h,50,mph,50,70,ft,,0,
Dahlonega Mine Train,"2,327 ft (709 m)",Six Flags Over Georgia,Operating,Arrow Dynamics,42 in (107 cm),Mine Train,Three chain lift hills,,5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Peachtree Square,2:51,2200 riders per hour,,45°,,,,,Terrain,,,,,,Flash Pass Available,,,,,,,,,1967,33.7676,-84.5519,Steel,6/16/1967,29 mph ,47 km/h,29,mph,29,37,ft,,0,
Alpine Sleigh Ride,,Other,Removed,,,,,,,,,,,,,,,,,,1983,,Batman The Escape,,,,,,,,,,,1968,,,Other,6/1/1968,,,,,,,,,0,
Thunderbolt (Kennywood),"3,250 ft (990 m)",Kennywood,Operating,,52 in (132 cm),,Chain lift hill,,3 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:41,,Andy Vettel (1968)John A. Miller (1924),,90 ft (27 m),,,Pippin,Terrain,,,,,Official website,,,,,,,,,,1968,40.3889,-79.865,Wood,1/1/1968,55 mph ,89 km/h,55,mph,55,70,ft,,0,
Cedar Creek Mine Ride,"2,540 ft (770 m)",Cedar Point,Operating,Arrow Development,48 in (122 cm),Mine Train,Two Chain lift hills,,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Frontier Town,2:50,2400 riders per hour,Ron Toomer,,,,,,,,,,,,,,,,,,,,,1969,41.4847,-82.6904,Steel,5/24/1969,42 mph ,68 km/h,42,mph,42,48,ft,,0,
Mini Mine Train (Six Flags Over Texas),,"Arlington, Texas, U.S.",Operating,,,,,,,,,,,,,,,,,,,"August 4, 1961",,Official website,,,,,,,,,,1969,32.7557,-97.0702,Other,,,,,,,,,,0,
Serpent (roller coaster),810 ft (250 m),Six Flags AstroWorld,Removed,Arrow Dynamics,36 in (91 cm),Mine Train,Chain lift hill,,,,1:29,500 riders per hour,,,,,,,,,"October 30, 2005",,,,,,,,,,,,,1969,29.676,-95.407,Steel,1/1/1969,14 mph ,23 km/h,14,mph,14,20,ft,,0,
Daidarasaurus,"2,340 m (7,680 ft)",Expoland,Removed,Sansei Technologies,,,Two chain lift hills,,,,6:33,,,,,,,,,,"December 9, 2007",,,,,,,,,,,,,1970,34.8044,135.5359,Steel,1/1/1970,72 km/h ,45 mph,72,km/h,44.7,28,m,91.9,0,
Galaxi,,Other,In Production,,,,,,,,,,,,,,,,,,,,,,,,,,Lap Bar,,,,,1970,,,Other,,,,,,,,,,0,
Jet Star (Casino Pier),"1,765.1 ft (538.0 m)",Casino Pier,Removed,Anton Schwarzkopf,,Jet Star,,,,,,,,,,,,,,,2000,,Star Jet,,,,,,,,,,,1970,39.9426,-74.0692,Steel,1/1/1970,31.1 mph ,50.1 km/h,31.1,mph,31.1,44.3,ft,,0,
Wildcat (Jolly Roger Amusement Park),,Other,,Anton Schwarzkopf,,Wildcat/65m,Chain lift,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,,,Steel,,,,,,,,,,0,
Gold Rusher,"2,590 ft (790 m)",Six Flags Magic Mountain,Operating,Arrow Development,48 in (122 cm),Mine Train,Chain lift hill,"$1,200,000 USD",4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,The Movie District,2:30,1750 riders per hour,Ron Toomer,3°,35 ft (11 m),,,,Terrain,,,,,,,Must transfer from wheelchair,,,,Flash Pass available,,,,1971,34.424,-118.5985,Steel,5/29/1971,35 mph ,56 km/h,35,mph,35,70,ft,,0,3.4
Magic Flyer (roller coaster),350 ft (110 m),Other,,Bradley and Kaye,,Little Dipper,Chain lift hill,,Single train with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Whistlestop Park,0:30,360 riders per hour,Chance Rides,1°,,,,,Oval,,1970,,,,,,,,,,,,,1971,,,Steel,,10 mph ,16 km/h,10,mph,10,10,ft,,0,2.1
River King Mine Train,"2,500 ft (760 m)",Six Flags St. Louis,Operating,Arrow Dynamics,42 in (107 cm),Mine Train,,,5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Gateway to the West,3:00,1800 riders per hour,,,41 ft (12 m),,,,,,,,,,Flash Pass Available,,,,,,,,,1971,38.5155,-90.6738,Steel,6/5/1971,37 mph ,60 km/h,37,mph,37,32,ft,,0,
Excalibur (Six Flags AstroWorld),"2,637 ft (804 m)",Six Flags AstroWorld,Removed,Arrow Dynamics,,Mine Train,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,,2:51,,,,80 ft (24 m),,,,,,1998,,,,,,,,,,,,,1972,29.675,-95.407,Steel,1/1/1972,46 mph ,74 km/h,46,mph,46,88,ft,,0,
Fire in the Hole (Silver Dollar City),"1,380 ft (420 m)",Silver Dollar City,Operating,Herschend Family Entertainment,36 in (91 cm),,"Trains are powered, propelling themselves on uphill sections. Trains then freely roll over drops. Tires embedded in the track also move trains through certain sections.",,2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Hugo's Hill Street,3:15,1000 riders per hour,Herschend Enterprises,,20 ft (6.1 m),,,,,,,,,,,Must transfer from wheelchair,,,,,,,,1972,36.6703,-93.3407,Steel,1/1/1972,27 mph ,43 km/h,27,mph,27,,,,0,
Jumbo Jet (Cedar Point),,Other,,Anton Schwarzkopf,,Jet Star 3 / Jumbo Jet,Electric spiral lift,,,,,,Werner Stengel,,,,,,,,,,WildCat,,,,,,,,,,,1972,,,Steel,,,,,,,56,ft,,0,
The Racer (Kings Island),"3,415 ft (1,040.9 m)",Other,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain,"$1,200,000 ",4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Coney Mall,2:00,2640 riders per hour,John C. Allen,45°,82.17 ft (25.0 m),,Fast Lane available,,Out and back,,,,,,,,,,,,,,,1972,39.3437,-84.2647,Wood,4/29/1972,53 mph ,85.3 km/h,53,mph,53,88,ft,,0,
Rock n' Roller Coaster (Opryland),"2,000 ft (610 m)",Other,,Arrow Development,42 in (107 cm),Mine Train,Chain lift hill,,,,2 min. 30 sec.,,,,,,,,,,1997,,,,,,,,,,,,,1972,,,Steel,,45 mph ,72 km/h,45,mph,45,56,ft,,0,
Scooby-Doo (Kings Island),"1,350 ft (410 m)",Kings Island,Operating,Philadelphia Toboggan Coasters,40 in (102 cm),,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Planet Snoopy,1:30,1200 riders per hour,John C. Allen,,30 ft (9.1 m),,,,Figure Eight,,,,,,,Must transfer from wheelchair,,,,,,,,1972,39.3432,-84.2693,Wood,1/1/1972,35 mph ,56 km/h,35,mph,35,38.6,ft,,0,
Toboggan (Hersheypark),450 ft (140 m),Hersheypark,Removed,Chance Rides,,Toboggan,Vertical chain lift hill,,,,,,Chance Rides,,,,,,Steel,,1977,,,,,,,,,,,,,1972,40.2866,-76.6561,Steel,1/1/1972,,,,,,45,ft,,0,
Carolina Goldrusher,"2,397 ft (731 m)",Carowinds,Operating,Arrow Dynamics,48 in (122 cm),Mine Train,Two chain lift hills,,,Carolina Boardwalk,2:17,"2,000 riders per hour",Ron Toomer,,34 ft (10 m),,Fast Lane available,,,,,,,,,,,,,,,,,1973,,,Steel,3/31/1973,30 mph ,48 km/h,30,mph,30,43,ft,,0,2.4
Great American Scream Machine (Six Flags Over Georgia),"3,800 ft (1,200 m)",Six Flags Over Georgia,Operating,Philadelphia Toboggan Coasters,42 in (107 cm),,Chain Lift,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:00,1200 riders per hour,"Don Rosser, John C. Allen, William Cobb",45°,89 ft (27 m),,,,Out-and-back,,,,,,Flash Pass Available,,,,,,,,,1973,33.7658,-84.5514,Wood,3/31/1973,57 mph ,92 km/h,57,mph,57,105,ft,,0,3.7
Schussboomer,"1,509.2 ft (460.0 m)",Worlds of Fun,Removed,Anton Schwarzkopf,,Wildcat - 54m,,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,900 riders per hour,Werner Stengel,,,,,,,,1984,,,,,,,,,,,,,1973,39.1773,-94.489,Steel,5/26/1973,,,,,,44.3,ft,,0,
Big Fury,,Six Flags Great Adventure,Removed,Pinfari,,Z64,,,,Movietown,,,Pinfari,,,,,,Pinfari,,1977,,Wild Rider,,,,,,,,,,,1974,40.138,-74.441,Steel,1/1/1974,,,,,,,,,0,
Mini-Comet,,Hersheypark,Removed,B.A. Schiff & Associates,,Trailer,Chain lift hill,,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,,,,Ben Schiff,,2.44 m (8.0 ft),,,"Carrousel (relocated within park, 1972)",Oval,,"October 1, 1978",,,,,,,,,,,,,1974,40.288,-76.657,Steel,5/10/1974,,,,,,4.57,m,15,0,
Runaway Mine Train (Six Flags Great Adventure),,"Jackson, New Jersey, United States",Operating,,,,,,,,,,,,,,,,,,,"July 1, 1974",,Six Flags Great Adventure,,,,,,,,,,1974,40.1377,-74.4405,Other,,,,,,,,,,0,
Scooby-Doo (Kings Dominion),"1,385 ft (422 m)",Kings Dominion,Operating,Philadelphia Toboggan Coasters,40 in (102 cm),,,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Planet Snoopy,1:40,1200 riders per hour,John C. Allen,,30 ft (9.1 m),,,,,,,,,,,,,,,,,,,1974,37.8405,-77.4422,Wood,1/1/1974,35 mph ,56 km/h,35,mph,35,35,ft,,0,
Trailblazer (roller coaster),"1,600 ft (490 m)",Hersheypark,Operating,Arrow Development,36 in (91 cm),Mine train,Chain lift hill,,,Pioneer Frontier,1:15,1125 riders per hour,,,,,,,,,,,,,,,,,,,,,,1974,40.2892,-76.6535,Steel,5/14/1974,35 mph ,56 km/h,35,mph,35,43,ft,,0,
Corkscrew (Knott's Berry Farm),"1,250 ft (380 m)",Other,,Arrow Development,48 in (122 cm),Corkscrew,Chain lift hill,,,,1:15,600 riders per hour,Ron Toomer,,62 ft (19 m),,,,,,1989,,Boomerang,,,,,,,,,,,1975,,,Steel,,46 mph ,74 km/h,46,mph,46,72,ft,,2,
Glissade (roller coaster),,Busch Gardens Williamsburg,Removed,Anton Schwarzkopf,,Jet Star 3 / Jumbo Jet,Electric Spiral Lift,,,,,,,,,,,,,,1985,,,,,,,,,,,,,1975,37.235,-76.644,Steel,1/1/1975,,,,,,,,,0,
Racer 75,"3,368.5 ft (1,026.7 m)",Other,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain,,4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Candy Apple Grove,2:15,1200 riders per hour,John C. Allen,50°,81 ft (24.7 m),,,,Out and back,,,,,,,,,,,,,,,1975,37.8371,-77.4449,Wood,5/3/1975,56 mph ,90.1 km/h,56,mph,56,85,ft,,0,4.2
Rockin' Roller,,Six Flags St. Louis,Removed,Bradley and Kaye,,Junior Coaster,Chain lift hill,,3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,,,,,,,,,,2006,,,,,,,,,,,,,1975,38.5128,-90.675,Steel,1/1/1975,,,,,,,,,0,
Scooby-Doo (Carowinds),"1,356 ft (413 m)",Carowinds,Operating,Philadelphia Toboggan Coasters,40 in (102 cm),144a,Chain Lift,,,Camp Snoopy,1:00,1250 riders per hour,John C. Allen,,35 ft (11 m),,,,,,,,,,,,,,,,,,,1975,35.101,-80.9394,Wood,1/1/1975,36 mph ,58 km/h,36,mph,36,40,ft,,0,
Space Mountain (Magic Kingdom),"3,196 ft (974.1 m)",Other,Operating,Arrow Development,44 in (112 cm),Special Coaster Systems,,,30 trains with 2 cars. Riders are arranged 1 across in 3 rows for a total of 6 riders per train.,Tomorrowland,2:30,,WED Enterprises,,26 ft (7.9 m),,,,,,,,,,,Must transfer from wheelchair,,,,,,,,1975,28.4192,-81.5772,Steel,1/15/1975,27 mph ,43.5 km/h,27,mph,27,90,ft,,0,3.7
Wabash Cannonball (roller coaster),"1,250 ft (380 m)",Opryland USA,Removed,Arrow Development,48 in (122 cm),Steel Corkscrew coaster,Chain lift hill,,,State Fair,1:10,480 riders per hour,Ron Toomer,,,,,,Custom,,1997,,,,,,,,,,,,,1975,36.2089,-86.6984,Steel,1/1/1975,50 mph ,80 km/h,50,mph,50,70,ft,,2,
Alpen Blitz,"1,800 ft (550 m)",Six Flags Great Adventure,Removed,Anton Schwarzkopf,44 in (112 cm),Alpenblitz II,,,,,0:22,,Werner Stengel,,2 ft (0.61 m),,,Jumbo Jet,,,1978,,Haunted Castle,,,,,,,,,,,1976,40.1371,-74.4411,Steel,1/1/1976,10 mph ,16 km/h,10,mph,10,16,ft,,0,1
Corkscrew (Cedar Point),"2,050 ft (620 m)",Cedar Point,Operating,Arrow Development,48 in (122 cm),Custom Looping Coaster,,"$1,750,000 USD",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Gemini Midway,2:00,"1,800 riders per hour",Ron Toomer,45°,65 ft (20 m),,Fast Lane available,,Out and back,,,,,,,,,,,,,,,1976,41.4836,-82.6853,Steel,5/15/1976,48 mph ,77 km/h,48,mph,48,85,ft,,3,
Demon (roller coaster),"2,130 ft (650 m)",Other,,Arrow Dynamics,42 or 48 in (107 or 122 cm),Custom Looping Coaster,Chain lift hill,,3 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:45,1300 riders per hour,,54°,90 ft (27 m),,,,,,,,,,,Must transfer from wheelchair,,,,,,,,1976,,,Steel,,50 mph ,80 km/h,50,mph,50,102,ft,,4,
Extremeroller,"1,250 ft (380 m)",Worlds of Fun,Removed,Arrow Dynamics,,Corkscrew,,,,America,1:10,"1,800 riders per hour",,55°,,,,,,,1988,,Timber Wolf,,,,,,,,,,,1976,39.1728,-94.4892,Steel,1/1/1976,50 mph ,80 km/h,50,mph,50,70,ft,,2,
Gulf Coaster,,Other,,Allan Herschell Company,,Little Dipper,,,Single train with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,,,,,,,,,,,,,,Southern Cross,,,,,,,,,,,1976,,,Steel,,,,,,,,,,0,
High Roller (Valleyfair),"2,982 ft (909 m)",Valleyfair,Operating,Rauenhorst Corporation,48 in (122 cm),wood out-and-back,chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:45,"1,150 riders per hour",National Amusement Devices,52°,56 ft (17 m),,Fast Lane available,,Out and Back,,,,,,,,,,,,,,,1976,44.8006,-93.4578,Wood,1/1/1976,50 mph ,80 km/h,50,mph,50,70,ft,,0,3.2
Jet Star 2 (Lagoon),"1,913.3 ft (583.2 m)",Lagoon Amusement Park,Operating,Anton Schwarzkopf,50 in (127 cm),Jet Star 2,,"$500,000 ",Single train with a single car. Riders are arranged 1 across in 6 rows for a total of 6 riders per train.,North Midway,,,,,,,,,,,,,,,,,,,,,,,,1976,40.9869,-111.8936,Steel,1/1/1976,,,,,,44.3,ft,,0,
Jumbo Jet (Morey's Piers),"2,854 ft (870 m)",Morey's Piers,Removed,Anton Schwarzkopf,,Jet Star 3 / Jumbo Jet,Electric spiral lift,"$400,000 ",,,2:23,"1,200 riders per hour",Ing.-Büro Stengel GmbH,,,,,,,,1987,,Jet Star,,,,,,,,,,,1976,38.986,-74.809,Steel,1/1/1976,50 mph ,80 km/h,50,mph,50,56,ft,,0,
Lil' Thunder,199 ft (61 m),Six Flags Great Adventure,Removed,Molina & Sons,20 in (51 cm),Little Dipper,,,,,0:27,,,,3 ft (0.91 m),,,,,,1983,,,,,,,,,,,,,1976,40.138,-74.44,Steel,1/1/1976,5 mph ,8.0 km/h,5,mph,5,9,ft,,0,
Mild Thing,,Valleyfair,Removed,Allan Herschell Company,,,Chain lift hill,,,,,450 riders per hour,,,,,,,,,2010,,,,,,,,,,,,,1976,44.7996,-93.4575,Steel,1/1/1976,,,,,,,,,0,
Python (Busch Gardens Tampa Bay),"1,200 ft (370 m)",Busch Gardens Tampa Bay,Removed,Arrow Development,42 in (107 cm),Corkscrew,Chain lift hill,US$2 million($9.1 million in 2020 dollars[1]),,Congo,1:08,,Ron Toomer,,,,,,,,"October 31, 2006",,Jungala,,,,,,,,,,,1976,28.039,-82.4251,Steel,7/1/1976,40 mph ,64 km/h,40,mph,40,72,ft,,2,
The New Revolution (roller coaster),"3,457 ft (1,054 m)",Six Flags Magic Mountain,Operating,Anton Schwarzkopf,48 in (122 cm),Looping roller coaster,Chain lift hill,"$2,000,000 ",2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Baja Ridge,79 seconds,1400 riders per hour,Werner Stengel,45°,83 ft (25 m),,,,Terrain,,,,,,,Must transfer from wheelchair,America,,,Flash Pass available,,,,1976,34.4228,-118.5964,Steel,5/8/1976,55 mph ,89 km/h,55,mph,55,113,ft,,1,4.9
Screamin' Eagle,"3,872 ft (1,180 m)",Six Flags St. Louis,Operating,Philadelphia Toboggan Coasters,42 in (107 cm),,,"$3,000,000 (1976)",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Illinois,2:30,,John C. Allen,,92 ft (28 m),,,,Out and back,,,,,,,,,,,,,,,1976,38.5164,-90.6761,Wood,4/10/1976,62 mph ,100 km/h,62,mph,62,110,ft,,0,
Texas Cyclone,"3,180 ft (970 m)",Six Flags AstroWorld,Removed,Frontier Construction Company,48 in (122 cm),,Chain lift hill,,6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:15,,"Don Rosser, William Cobb",53°,80 ft (24 m),,,,Cyclone,,"October 30, 2005",,,,,,,,,,,,,1976,29.6767,-95.4097,Wood,6/12/1976,,,,,,93,ft,,0,
Thunder Road (roller coaster),"3,819 ft (1,164.0 m)",Other,Removed,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain,"$1,600,000 ",,County Fair,2:10,,Curtis D. Summers,,88 ft (26.8 m),,,,Out and back,,"July 26, 2015",,Carolina Harbor,,,,,,,,,,,1976,35.1004,-80.9426,Wood,4/3/1976,58 mph ,93.3 km/h,58,mph,58,93,ft,,0,3.4
Whizzer (roller coaster),"3,100 ft (940 m)",Other,,Anton Schwarzkopf,36 in (91 cm),Speed Racer / Extended Jumbo Jet,Trains are powered by a hotrail,,3 trains with 4 cars. Riders are arranged 1 across in 6 rows for a total of 24 riders per train.,Hometown Square,2:00,810 riders per hour,Werner Stengel,35°,64 ft (20 m),,,,Terrain,,1988,,Gold Striker,,Flash Pass Available,,,,,,,,,1976,,,Other,,42 mph ,68 km/h,42,mph,42,70,ft,,0,3
Double Loop (Geauga Lake),"1,800 ft (550 m)",Geauga Lake,Removed,Arrow Dynamics,48 in (122 cm),,Chain,$1.35 million,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:30,525 riders per hour,,45°,90 ft (27 m),,,,,,"September 16, 2007",,,,,,,,,,,,,1977,41.3528,-81.3774,Steel,1/1/1977,36 mph ,58 km/h,36,mph,36,95,ft,,2,
Screamin' Demon,635 ft (194 m),Other,,Arrow Dynamics,,Launched Loop,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Wild Animal Habitat,1:06,,,,47 ft (14 m),,,,,,,,,,,,,,,,,,,1977,,,Steel,,45 mph ,72 km/h,45,mph,45,56,ft,,1,4
Shuttle Loop,,Other,Discontinued,Anton Schwarzkopf,,,,,,,,1300 riders per hour,Werner Stengel & Reinhold Spieldiener,,,,,,,,,,,,,,,,,,,,,1977,,,Other,,,,,,,,,,2,
SooperDooperLooper,"2,614 ft (797 m)",Hersheypark,Operating,Anton Schwarzkopf,42 in (107 cm),Looping Speedracer,Chain lift hill,$3 million,,,1:45,1175 riders per hour,Werner Stengel,,70 ft (21 m),,,,,,,,,,,,,,,,,,,1977,40.2864,-76.6536,Steel,7/4/1977,45 mph ,72 km/h,45,mph,45,75,ft,,1,
Space Mountain (Disneyland),"3,459 ft (1,054 m)",Disneyland,Operating,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],40 in (102 cm),,Chain Lift Hill,,12 trains with 2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Tomorrowland,3:00 min,"2,057 (11 rockets) 1,741 (10 rockets) 1,440 (9 rockets) riders per hour",WED Enterprises,,,,,,,,"April 10, 2003 (original)",,,,,Must transfer from wheelchair,Spaceflight,,,,,,,1977,33.811,-117.9174,Steel,5/27/1977,35 mph ,56 km/h,35,mph,35,76,ft,,0,
Steeplechase (Blackpool Pleasure Beach),,Blackpool Pleasure Beach,Operating,Arrow Dynamics,50 in (127 cm),,,"£813,000",Single car trains. Riders are arranged inline in 2 rows for a total of 2 riders per train.,,,,,,,,,,,,,,,,,,,,,,,,,1977,53.7888,-3.0558,Steel,1/1/1977,,,,,,,,,0,
Arkansas Twister,"3,340 ft (1,020 m)",Magic Springs and Crystal Falls,Operating,Michael Black and Associates,48 in (122 cm),,Chain lift hill,$2.3 million,,,2:00[1],,Don Rosser / Bill Cobb,45°,92 ft (28 m),,,,Out and back,,,,,,,,,,,,,,,1978,34.5213,-93.0143,Wood,1/1/1978,50 mph ,80 km/h,50,mph,50,95,ft,,0,
Colossus (Six Flags Magic Mountain),"4,990 ft (1,520 m)",Six Flags Magic Mountain,Operating,Rocky Mountain Construction,48 in (122 cm),I-Box – Custom,Chain lift hill,,4 (3 max. in use) trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Screampunk District,3:40,,Alan Schilke,80°,128 ft (39 m),,,Colossus,Möbius Loop with one station,,,,,,,Must transfer from wheelchair,,,,,,,,1978,34.4278,-118.5975,Steel,5/23/2015,57 mph ,92 km/h,57,mph,57,121,ft,,2,
Gemini (roller coaster),"3,935 ft (1,199.4 m)",Other,Operating,Arrow Dynamics,48 in (122 cm),Special Coaster Systems,Chain,"$3,400,000 ",4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Gemini Midway,2:40,"3,300 riders per hour",Ron Toomer,55°,118 ft (36.0 m),,Fast Lane available,,,,,,,,,,,,,,,,,1978,41.4863,-82.6897,Steel,6/17/1978,60 mph ,96.6 km/h,60,mph,60,125,ft,,0,
Greezed Lightnin' (Six Flags Astroworld),,Other,Discontinued,Anton Schwarzkopf,,,,,,,,1300 riders per hour,Werner Stengel & Reinhold Spieldiener,,,,,,,,,,,,,,,,,,,,,1978,,,Other,,,,,,,,,,2,
Lightnin' Loops,635 ft (194 m),Other,,Arrow Development,44 in (112 cm),,,,,,1:06,,,,47 ft (14 m),,,,Interlocking Shuttle Loop,,,,,,,,,,,,,,,1978,40.1358,-74.4437,Steel,,45 mph ,72 km/h,45,mph,45,56,ft,,1,4
Loch Ness Monster (roller coaster),"3,240 ft (990 m)",Busch Gardens Williamsburg,Operating,Arrow Development,48 in (122 cm),Custom Looping Coaster,Two chain lift hills,"$5,000,000[1]",,Scotland,2:10,800 riders per hour,Ron Toomer,55°,114 ft (35 m),,,,Terrain,,,,,,,,,,,,,,,1978,37.2343,-76.646,Steel,6/6/1978,60 mph ,97 km/h,60,mph,60,130,ft,,2,3.5
Montezooma's Revenge,800 ft (240 m),Knott's Berry Farm,Operating,Anton Schwarzkopf,48 in (122 cm),Shuttle Loop - Flywheel,Flywheel launch,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Fiesta Village,0:36,1344 riders per hour,Werner Stengel,70°,137 ft (42 m),,Fast Lane available,,Shuttle Loop,,,,,,,,,,,,0 to 55 mph (0 to 89 km/h) in 3 seconds,,,1978,33.8456,-117.999,Steel,5/21/1978,55 mph ,89 km/h,55,mph,55,148,ft,,2,
